Feature,Importance
RSI,0.07520837720412266
Gold_Volatility,0.05429230516065821
Oil_Change,0.03825900112368669
Vol_Ratio,0.038018553609418776
Volume_Ratio,0.03620176984519695
TBill_3M_Change,0.03556214074330962
Yield_10Y_Change,0.034792509176159704
USD_Volatility,0.03461365369804508
US_CPI,0.03325210864332494
Crude_Oil,0.031562585330342806
Yield_5Y_Change,0.03110784760274772
Oil_MA,0.03070742179320926
Gold_Change,0.030455380961899554
Oil_Volatility,0.03038559925643725
Vol_20,0.027888911489898326
Return_Kurt,0.027415977688339158
Gold_MA,0.026330772882613224
US_10Y_Yield,0.026144827240007624
Return_Skew,0.024866507173868544
Inflation_Rate,0.023795162803930146
Volatility_30d,0.022814747245994995
Yield_10Y_MA,0.021847102612749594
USD_Change,0.02122770770479965
Gold,0.02053318009044138
Yield_Curve_10Y_5Y,0.02038694519458428
Inflation_Rate_QoQ,0.019981435993160747
Volume_MA,0.019845095009309692
US_5Y_Yield,0.019735733554955052
Vol_50,0.017564967636307025
Yield_5Y_MA,0.01735112014933823
US_3M_TBill,0.017163696287404995
Volume,0.01605845540060232
Yield_Curve_10Y_3M,0.015321019679717168
USD_Index,0.012830984293487415
USD_MA,0.012309038191989374
TBill_3M_MA,0.012259670524384118
MA_50,0.01220596933047829
MA_20,0.009701717673079577
